	0	1	2
584.0	604908401050.419	862755072539.5994	868399520657.1359
585.0	597509402502.7548	837198092056.314	846269650572.556
586.0	611123390583.7532	857864311711.5564	860923409779.128
587.0	597263617048.865	835642615709.2637	839856631162.9152
588.0	558976216082.1058	817208035711.4291	812850758723.7454
589.0	562967128388.0063	806642054400.333	809977991107.9441
590.0	601091582187.4518	828468983385.2727	832158469100.6674
591.0	606292469964.2227	850291245681.979	849749646280.7169
592.0	554415601120.8173	794686043353.2833	796677630287.1558
593.0	571913749016.7386	818266520176.2014	813916987742.6802
594.0	577925902926.3678	828503738257.9746	819438423597.8231
595.0	555901589723.488	789878677696.2051	787071034978.5345
596.0	566491995338.8817	782858776542.9354	794762048529.357
597.0	569117377690.3307	788903981577.3901	795310438268.3475
598.0	558808097948.4496	802635550246.7839	788710722765.1285
599.0	566819710872.1124	817084147813.0565	803304393823.3623
600.0	540530536081.8031	773276550184.8245	762154714025.3455
601.0	572985213653.454	813650462354.1868	808385900043.0945
602.0	578221319761.9958	790103043150.5757	786663489157.3147
603.0	586207523896.3976	783000990739.1395	793149000827.8458
604.0	531751270552.9004	774849797557.5614	753396103542.5806
605.0	541930344120.6199	770324387150.2646	748537338785.2153
606.0	559180796683.6202	781727579097.131	772461229903.5542
607.0	543975538034.409	772210057057.1749	757546853309.4369
608.0	559265127853.4629	754306369395.8137	750383270332.3147
609.0	551586270577.0087	752035828357.8079	732251974783.9785
610.0	524362532229.6944	738350992163.503	717479493528.7511
611.0	526808464363.052	726701253617.5165	713583538587.7916
612.0	515380139582.992	744189028981.0514	699801825225.4395
613.0	523356591719.6572	720369829944.3185	705688409509.0077
614.0	517472338869.173	701323916759.6261	694801083719.4492
615.0	553244778892.9247	746712104227.371	732720091298.6946
616.0	525242455422.6968	694647371505.0199	677661130911.5807
617.0	483298984727.059	666003185377.1423	663192352042.746
618.0	533234777400.2038	705851364405.6482	706241629489.8892
619.0	513174417491.38947	641119305367.0952	655106953691.653
620.0	479766207667.49316	693171578044.432	662135756467.9036
621.0	498766534983.33545	663203011747.8599	649470488752.9161
622.0	477464712375.86194	665595104967.153	637191289136.2694
623.0	488302536361.9762	668246345601.0234	654514999860.153
624.0	488367051851.32874	702933732715.576	643288570687.9236
625.0	481976886086.5653	644098789306.7906	618081222747.2952
626.0	530646905339.25995	680899100954.6759	664395603544.4299
627.0	518197361526.45667	682022343576.7605	652552916111.65
628.0	501544752840.5161	641024117165.6744	625721694189.1019
629.0	475925842846.8243	612150203994.0173	601923304346.3092
630.0	501577732771.195	635522929738.9694	629644395795.1825
631.0	467194610162.58417	585763973359.5712	587759581279.6074
632.0	498139204407.21454	658798833212.1505	631325100341.7263
633.0	432691151085.66565	585476282591.27	570852002410.8843
634.0	436557957728.19165	585730762211.4222	545465964850.3663
635.0	488278913628.1715	632321434947.0798	606346407219.0337
636.0	422520254349.55	590196641257.9135	551765693349.176
637.0	458823577363.838	583505669765.8998	566235044400.4974
638.0	499086118849.1836	618577920088.7068	599981205165.8115
639.0	455524868978.6901	551467631101.4369	553656467365.088
640.0	402385320108.61066	505676680395.0498	512172867444.77686
641.0	465627617463.8821	561709416565.4363	559077206088.214
642.0	449068706871.3139	549524889138.2226	544139849126.6821
643.0	482089995757.43854	595129409345.631	581814684850.166
644.0	473509490231.57056	579644077185.6678	562288243961.1193
645.0	437924705765.70856	552424285474.6298	533190529207.0216
646.0	487679171034.1959	551335724286.2251	551823779166.6117
647.0	466082540630.7457	571391248278.8243	550365959058.2273
648.0	439643812016.96716	526048458211.66766	521939807280.2962
649.0	477367741747.23926	561141975465.8451	565617362586.0594
650.0	480322455968.75244	537700188372.2345	541177535026.79626
651.0	442659471403.8289	543809657945.3731	534304095141.91547
652.0	448722954932.9404	523930504692.08276	520414066825.6103
653.0	393810486776.46375	485019022365.7137	479031400332.60095
654.0	445084490155.84155	505261610811.37415	509028161559.78766
655.0	377639690791.6881	454336997251.4116	453424125718.18933
656.0	394454442230.34717	453507466098.59894	460319678556.5241
657.0	420748156951.4409	504031154604.87585	488752867978.55664
658.0	429282385402.0611	513095700385.12555	514235886616.8891
659.0	428923313725.02026	499762675480.5742	486777843724.5005
660.0	428075295726.826	485055423959.6642	478962697271.60834
661.0	399022839114.0607	475984178589.1313	458642719956.30273
662.0	410903205191.7781	484736573167.55316	473025440060.1044
663.0	439356328378.03485	501639611222.9483	497050119200.5899
664.0	394260076200.6399	476521226537.9296	454430465003.5424
665.0	380625128218.8435	468182212246.5998	434670123611.0321
666.0	443377080440.20984	513236380998.1165	493743959426.49774
667.0	332569608221.7479	404121074289.00635	386207411389.16986
668.0	310664499041.168	403212987080.9321	369882224680.875
669.0	416646781979.54443	474983877432.6977	466300558114.45874
670.0	365642063807.34106	414211512231.46564	415340004184.70435
671.0	386286642656.0205	464827908921.8189	438619441149.3643
672.0	365815368712.0309	465836002406.34045	427681107917.63934
673.0	349069968083.459	410658887107.4119	399624289647.5967
674.0	355170220987.30865	423526093204.5151	412694688572.9658
675.0	361051309286.2226	416346694078.74896	409776112959.9559
676.0	361105841328.8227	427231828681.2244	420752405282.4255
677.0	367252802804.9435	420962622274.9995	409437307993.62506
678.0	367138162630.74115	416772221625.2931	411327484520.0432
679.0	346679391477.9098	371190404731.9702	371596511260.06305
680.0	351675499022.83844	380025670458.0587	372445605486.82056
681.0	332263984516.42566	398537213026.8151	376652636968.59576
682.0	387395984405.8031	419143071142.19244	397664550431.0707
683.0	355361462622.07965	407726690862.1563	400668329458.73737
684.0	334473426276.97394	401948791906.384	380055826982.5053
685.0	369421737344.6787	422732653256.0595	416255914679.65546
686.0	381012363085.3754	425327657175.7536	412446746360.0594
687.0	362886559574.77637	417946617001.49567	405221570959.3318
688.0	346322040846.55426	395648386431.3334	373573003977.7533
689.0	354138826194.4766	402323400639.21735	385026639133.8276
690.0	345173927607.6949	376821699072.87775	370844443911.3895
691.0	356691666894.26227	409000031638.1806	390291212765.84314
692.0	317214824808.35596	377256086563.4532	352117094047.593
693.0	309082829722.6203	351991691911.2337	339396259078.6751
694.0	340624622419.426	385361955141.6325	371302699383.9325
695.0	345432724828.5658	380730724919.2417	362855123309.94507
696.0	308872567132.8424	353937994497.633	330621611795.05963
697.0	336713528147.97235	370955998845.5717	351450581546.58594
698.0	341892235544.5102	377073860913.5591	356446360167.2929
699.0	322480296703.4143	354623424300.7787	343776057961.6183
700.0	333902795023.18634	378996540182.5058	357781179299.93243
701.0	323958591450.89154	365213348603.7838	345325513136.87384
702.0	312638337295.325	351182409659.9527	337156731860.86804
703.0	339098628682.629	365703146147.753	357685760613.1771
704.0	318016555425.34827	343175913308.8981	331901142392.1304
705.0	336750483224.5804	380595086016.9378	357723701753.42285
706.0	322239610272.3414	348426131457.3726	342994853934.37335
707.0	326729372446.45013	358751580762.1114	339202678919.7208
708.0	311763236428.1056	341869718426.0528	324482546748.5389
709.0	306256084905.5969	343339559897.13025	324794236520.63403
710.0	346897011964.863	373156324154.37585	356317739287.30865
711.0	315340667660.76825	333801709456.3603	323778667690.0908
712.0	323236235260.87054	344796800180.2609	325309707592.3355
713.0	315848605003.4462	331622665259.9216	316400345399.82697
714.0	314863836212.04755	329942008811.4062	319871983973.2751
715.0	329280673487.4648	335103635795.7014	327968041920.81067
716.0	319307194260.20166	325074456756.33527	316597457664.293
717.0	337045505142.99164	346016978251.8729	336236958880.2051
718.0	321251998233.8769	342138461690.354	326698795425.6788
719.0	331130529632.03644	341669477962.18726	331309265210.8711
720.0	312346308456.12964	331798447733.0201	316383816768.7964
721.0	310871566469.8603	337300861535.362	316774784685.39386
722.0	335253804844.6076	342043700195.2915	330166191606.6702
723.0	339550317243.4748	347922738237.4317	333995321806.6689
724.0	303937165417.2304	311680416005.2207	298560852699.3577
725.0	318557056149.3369	316451558702.0285	300027743221.8678
726.0	295928946336.12836	312000440153.0561	302589197312.9138
727.0	318472057205.9437	321468855701.7251	308566944043.06976
728.0	292892990599.96735	309142698896.7742	298432299151.9494
729.0	321601183625.6994	323765377037.83276	315917392368.0791
730.0	283719323701.9901	299387591047.72894	282102675207.46875
731.0	324508343995.6938	338810685537.31586	327240549187.78375
732.0	290857486724.236	310711350067.5658	291720396943.7828
733.0	312569589002.8359	321275683786.0772	303981552895.74615
734.0	301224786387.5325	308120200466.1709	301279810760.2591
735.0	316349860860.0211	307571766995.7784	297937679119.428
736.0	280573817468.6798	277181379905.58093	270887948731.2223
737.0	327588324210.1287	335271556604.73975	317912281283.95874
738.0	315148059849.484	314847812726.3255	310533872092.4915
739.0	311075592065.10077	315798211028.8921	306388844137.48645
740.0	305851178355.0684	327561063651.7365	300350183954.3303
741.0	320739464041.92566	323142624596.8219	304385588752.23596
742.0	307566287749.13446	310893973129.80524	304839530846.78455
743.0	315077028278.052	316161928280.1891	302708686450.3142
744.0	295790460772.5758	298953076161.61975	284634622414.38696
745.0	297276218713.4931	302540260974.9504	286441622868.2959
746.0	298904336274.6708	303165925564.1198	288007030127.51807
747.0	309318238694.4549	308928627148.7784	292091359293.6654
748.0	295677549804.10785	302383499590.3172	287705321834.7574
749.0	297842165717.04645	294682018538.981	281657205521.61975
750.0	292799929420.40436	294904402728.6384	281899783985.9422
751.0	294075402689.4355	291321630054.8035	279122881419.8927
752.0	278084608234.39374	274874841539.40613	262381273796.35327
753.0	279011084652.3766	286894075786.9235	268860563140.96744
754.0	298827522525.7239	296019082832.30554	284664947902.1631
755.0	291546868373.385	286466444756.2332	273242258063.78952
756.0	294007545991.079	288486219417.8106	278126356129.2325
757.0	304327406279.793	297714292461.4846	282938311541.05865
758.0	289757234639.857	283110464083.47723	272416057511.81616
759.0	290100219353.0085	285553709486.4893	273244392298.60873
760.0	285944935071.1186	283927110719.3699	268153875466.11014
761.0	291501148449.644	286133554212.59607	275153167458.67834
762.0	290353283090.8953	287105408883.71466	274024855444.32025
763.0	297366050547.19543	293846916236.5992	278294298602.39905
764.0	286591663672.2361	286301333952.2736	270591991938.03122
765.0	287046477314.0804	280260950021.8427	267814992120.82547
766.0	282823659855.07	277086529035.8627	264618000619.82135
767.0	295838417283.2094	287358483422.1207	275113734635.2957
768.0	284805760686.2108	277695925554.19275	264048760616.0249
769.0	291695751175.2079	290576443487.5607	275501680925.45557
770.0	290763133038.2767	285855595852.1082	270063030951.82758
771.0	290488066983.3711	289936333463.30896	271984236521.88275
772.0	295638839498.9719	289452586485.32166	276563333113.07355
773.0	284159405680.8785	281621537986.83673	265992231610.20834
774.0	298321198867.692	292336344416.51166	273659668979.0602
775.0	304904289103.14246	300582395227.1004	283300694993.8957
776.0	302454782644.84045	297439784325.34125	277277894847.5794
777.0	295238261921.7573	288370589551.62335	268474306651.72183
778.0	307210082971.3523	294904120003.926	276851097244.81146
779.0	299894044478.7343	285443651189.3545	270364928060.05066
780.0	305938858433.0186	297326920066.2319	280929418200.47076
