wavelength	ocp	red	diff
552.03	0.0446	0.4261	0.3815
552.61	0.0437	0.4282	0.3845
553.2	0.0428	0.4301	0.3873
553.78	0.0419	0.4321	0.3902
554.36	0.0411	0.4348	0.3937
554.94	0.0402	0.4372	0.397
555.52	0.0394	0.4395	0.4001
556.1	0.0387	0.4423	0.4036
556.68	0.038	0.4449	0.4069
557.26	0.0373	0.4475	0.4102
557.84	0.0367	0.4501	0.4134
558.42	0.0362	0.4522	0.416
559	0.0357	0.4543	0.4186
559.58	0.0351	0.4565	0.4214
560.16	0.0344	0.4586	0.4242
560.74	0.0338	0.4608	0.427
561.32	0.0331	0.4627	0.4296
561.91	0.0323	0.4647	0.4324
562.49	0.0316	0.4665	0.4349
563.07	0.0335	0.4684	0.4349
563.65	0.0327	0.4702	0.4375
564.23	0.032	0.4721	0.4401
564.81	0.0313	0.4738	0.4425
565.39	0.0306	0.4752	0.4446
565.97	0.03	0.4765	0.4465
566.55	0.0293	0.4771	0.4478
567.13	0.0287	0.4777	0.449
567.71	0.0281	0.4784	0.4503
568.29	0.0275	0.4786	0.4511
568.87	0.0269	0.4788	0.4519
569.45	0.0264	0.479	0.4526
570.03	0.0259	0.4792	0.4533
570.61	0.0253	0.4792	0.4539
571.19	0.0248	0.4792	0.4544
571.77	0.0243	0.4791	0.4548
572.35	0.0238	0.4791	0.4553
572.92	0.0234	0.479	0.4556
573.5	0.0229	0.4787	0.4558
574.08	0.0224	0.4782	0.4558
574.66	0.022	0.4776	0.4556
575.24	0.0215	0.477	0.4555
575.82	0.0211	0.4763	0.4552
576.4	0.0206	0.4755	0.4549
576.98	0.0201	0.4745	0.4544
577.56	0.0197	0.4734	0.4537
578.14	0.0193	0.4722	0.4529
578.72	0.0188	0.471	0.4522
579.3	0.0184	0.4698	0.4514
579.88	0.018	0.4684	0.4504
580.46	0.0176	0.467	0.4494
581.04	0.0172	0.4652	0.448
581.61	0.0168	0.4632	0.4464
582.19	0.0165	0.4609	0.4444
582.77	0.0161	0.4589	0.4428
583.35	0.0159	0.4569	0.441
583.93	0.0156	0.4548	0.4392
584.51	0.0153	0.4527	0.4374
585.09	0.0151	0.4504	0.4353
585.67	0.0148	0.4481	0.4333
586.25	0.0145	0.446	0.4315
586.82	0.0142	0.444	0.4298
587.4	0.0139	0.4419	0.428
587.98	0.0135	0.4398	0.4263
588.56	0.0132	0.4378	0.4246
589.14	0.0128	0.4362	0.4234
589.72	0.0125	0.4343	0.4218
590.3	0.0121	0.4325	0.4204
590.87	0.0118	0.4306	0.4188
591.45	0.0114	0.4287	0.4173
592.03	0.0111	0.4267	0.4156
592.61	0.0108	0.4243	0.4135
593.19	0.0105	0.4222	0.4117
593.77	0.0102	0.4204	0.4102
594.34	0.01	0.4187	0.4087
594.92	0.0097	0.4169	0.4072
595.5	0.0095	0.4151	0.4056
596.08	0.0093	0.4132	0.4039
596.66	0.0091	0.411	0.4019
597.23	0.0089	0.4089	0.4
597.81	0.0087	0.4067	0.398
598.39	0.0085	0.4044	0.3959
598.97	0.0084	0.4018	0.3934
599.55	0.0083	0.3992	0.3909
600.12	0.0082	0.3966	0.3884
600.7	0.0081	0.3939	0.3858
601.28	0.008	0.3911	0.3831
601.86	0.008	0.3884	0.3804
602.43	0.0079	0.3856	0.3777
603.01	0.0079	0.3828	0.3749
603.59	0.0078	0.3798	0.372
604.17	0.0078	0.3768	0.369
604.74	0.0077	0.3742	0.3665
605.32	0.0077	0.3717	0.364
605.9	0.0077	0.3692	0.3615
606.48	0.0078	0.3667	0.3589
607.05	0.0078	0.3642	0.3564
607.63	0.0078	0.3616	0.3538
608.21	0.0077	0.359	0.3513
608.79	0.0077	0.3564	0.3487
609.36	0.0076	0.3537	0.3461
609.94	0.0076	0.3508	0.3432
610.52	0.0075	0.3478	0.3403
611.09	0.0074	0.345	0.3376
611.67	0.0074	0.3423	0.3349
612.25	0.0073	0.3395	0.3322
612.83	0.0072	0.3365	0.3293
613.4	0.0071	0.3334	0.3263
613.98	0.007	0.3306	0.3236
614.56	0.0069	0.3279	0.321
615.13	0.0069	0.3253	0.3184
615.71	0.0068	0.3229	0.3161
616.29	0.0068	0.3204	0.3136
616.86	0.0068	0.3179	0.3111
617.44	0.0068	0.3153	0.3085
618.02	0.0068	0.3125	0.3057
618.59	0.0069	0.3098	0.3029
619.17	0.0069	0.307	0.3001
619.74	0.0069	0.3043	0.2974
620.32	0.007	0.3015	0.2945
620.9	0.007	0.2992	0.2922
621.47	0.007	0.2968	0.2898
622.05	0.0069	0.2947	0.2878
622.63	0.0069	0.2928	0.2859
623.2	0.0068	0.2909	0.2841
623.78	0.0067	0.289	0.2823
624.35	0.0066	0.2872	0.2806
624.93	0.0065	0.2856	0.2791
625.51	0.0064	0.284	0.2776
626.08	0.0063	0.2824	0.2761
626.66	0.0061	0.2807	0.2746
627.23	0.006	0.279	0.273
627.81	0.0059	0.2772	0.2713
628.39	0.0058	0.2756	0.2698
628.96	0.0058	0.2739	0.2681
629.54	0.0057	0.2723	0.2666
630.11	0.0057	0.2707	0.265
630.69	0.0057	0.2691	0.2634
631.26	0.0056	0.2674	0.2618
631.84	0.0055	0.2658	0.2603
632.42	0.0054	0.2639	0.2585
632.99	0.0053	0.262	0.2567
633.57	0.0052	0.2602	0.255
634.14	0.0051	0.2584	0.2533
634.72	0.005	0.2564	0.2514
635.29	0.005	0.2543	0.2493
635.87	0.0049	0.2522	0.2473
636.44	0.0049	0.2499	0.245
637.02	0.0048	0.2478	0.243
637.59	0.0048	0.2456	0.2408
638.17	0.0048	0.2436	0.2388
638.74	0.0048	0.2416	0.2368
639.32	0.0048	0.2397	0.2349
639.89	0.0048	0.2379	0.2331
640.47	0.0048	0.236	0.2312
641.04	0.0047	0.2341	0.2294
641.62	0.0046	0.2322	0.2276
642.19	0.0045	0.2305	0.226
642.77	0.0044	0.2287	0.2243
643.34	0.0044	0.2268	0.2224
643.92	0.0044	0.225	0.2206
644.49	0.0044	0.2234	0.219
645.07	0.0045	0.222	0.2175
645.64	0.0045	0.2205	0.216
646.22	0.0045	0.2189	0.2144
646.79	0.0044	0.2173	0.2129
647.37	0.0044	0.2157	0.2113
647.94	0.0043	0.2143	0.21
648.51	0.0042	0.2127	0.2085
649.09	0.0042	0.211	0.2068
649.66	0.0042	0.211	0.2068
650.24	0.0042	0.2094	0.2052
650.81	0.0042	0.2077	0.2035
651.39	0.0041	0.2061	0.202
651.96	0.0041	0.2044	0.2003
652.53	0.0041	0.2028	0.1987
653.11	0.0041	0.2012	0.1971
653.68	0.004	0.1996	0.1956
654.26	0.0039	0.198	0.1941
654.83	0.0039	0.1963	0.1924
655.4	0.0038	0.1946	0.1908
655.98	0.0037	0.193	0.1893
656.55	0.0036	0.1914	0.1878
657.13	0.0035	0.1898	0.1863
657.7	0.0035	0.1882	0.1847
658.27	0.0035	0.1867	0.1832
658.85	0.0035	0.1852	0.1817
659.42	0.0035	0.1837	0.1802
659.99	0.0035	0.1822	0.1787
660.57	0.0035	0.1807	0.1772
661.14	0.0034	0.1792	0.1758
661.71	0.0034	0.1777	0.1743
662.29	0.0034	0.1763	0.1729
662.86	0.0034	0.1748	0.1714
663.43	0.0034	0.1733	0.1699
664.01	0.0034	0.1719	0.1685
664.58	0.0034	0.1705	0.1671
665.15	0.0034	0.1691	0.1657
665.73	0.0034	0.1676	0.1642
666.3	0.0033	0.1662	0.1629
666.87	0.0033	0.1648	0.1615
667.45	0.0033	0.1633	0.16
668.02	0.0033	0.1619	0.1586
668.59	0.0032	0.1605	0.1573
669.16	0.0032	0.1591	0.1559
669.74	0.0031	0.1577	0.1546
670.31	0.0031	0.1563	0.1532
670.88	0.003	0.1549	0.1519
671.46	0.003	0.1536	0.1506
672.03	0.003	0.1523	0.1493
672.6	0.0029	0.151	0.1481
673.17	0.0029	0.1496	0.1467
673.75	0.0028	0.1483	0.1455
674.32	0.0027	0.1469	0.1442
674.89	0.0026	0.1455	0.1429
675.46	0.0025	0.1441	0.1416
676.04	0.0024	0.1427	0.1403
676.61	0.0022	0.1413	0.1391
677.18	0.0021	0.1399	0.1378
677.75	0.002	0.1385	0.1365
678.32	0.0018	0.1372	0.1354
678.9	0.0018	0.1359	0.1341
679.47	0.0017	0.1346	0.1329
680.04	0.0017	0.1333	0.1316
680.61	0.0016	0.132	0.1304
681.19	0.0016	0.1308	0.1292
681.76	0.0016	0.1297	0.1281
682.33	0.0017	0.1285	0.1268
682.9	0.0017	0.1273	0.1256
683.47	0.0017	0.1262	0.1245
684.04	0.0017	0.1251	0.1234
684.62	0.0017	0.1239	0.1222
685.19	0.0017	0.1227	0.121
685.76	0.0016	0.1215	0.1199
686.33	0.0016	0.1203	0.1187
686.9	0.0015	0.119	0.1175
687.47	0.0013	0.1178	0.1165
688.05	0.0012	0.1165	0.1153
688.62	0.0012	0.1154	0.1142
689.19	0.0011	0.1142	0.1131
689.76	0.0011	0.1131	0.112
690.33	0.0011	0.112	0.1109
690.9	0.0011	0.111	0.1099
691.47	0.0011	0.1099	0.1088
692.04	0.001	0.1089	0.1079
692.62	0.001	0.1079	0.1069
693.19	0.001	0.1069	0.1059
693.76	0.001	0.1059	0.1049
694.33	0.0011	0.1049	0.1038
694.9	0.0011	0.104	0.1029
695.47	0.0012	0.1031	0.1019
696.04	0.0012	0.1021	0.1009
696.61	0.0012	0.1012	0.1
697.18	0.0012	0.1002	0.099
697.75	0.0012	0.0993	0.0981
698.33	0.0012	0.0983	0.0971
698.9	0.0012	0.0974	0.0962
699.47	0.0011	0.0964	0.0953
700.04	0.001	0.0954	0.0944
700.61	0.0008	0.0944	0.0936
701.18	0.0006	0.0933	0.0927
701.75	0.0004	0.0922	0.0918
702.32	0.0001	0.0911	0.091
702.89	0	0.0901	0.0901
703.46	-0.0001	0.0892	0.0893
704.03	0	0.0883	0.0883
704.6	0	0.0876	0.0876
705.17	0.0001	0.0868	0.0867
705.74	0.0002	0.086	0.0858
706.31	0.0003	0.0853	0.085
706.88	0.0004	0.0845	0.0841
707.45	0.0004	0.0837	0.0833
708.02	0.0003	0.0828	0.0825
708.59	0.0002	0.082	0.0818
709.16	0	0.081	0.081
709.73	-0.0002	0.08	0.0802
710.3	-0.0003	0.0791	0.0794
710.87	-0.0003	0.0781	0.0784
711.44	-0.0003	0.0772	0.0775
712.01	-0.0003	0.0763	0.0766
712.58	-0.0002	0.0755	0.0757
713.15	-0.0002	0.0746	0.0748
713.72	-0.0001	0.0738	0.0739
714.29	-0.0001	0.0729	0.073
714.86	-0.0001	0.0721	0.0722
715.43	-0.0001	0.0712	0.0713
716	-0.0001	0.0704	0.0705
716.57	-0.0001	0.0696	0.0697
717.13	-0.0001	0.0687	0.0688
717.7	0	0.068	0.068
718.27	0	0.0672	0.0672
718.84	0.0001	0.0665	0.0664
719.41	0.0002	0.0657	0.0655
719.98	0.0002	0.0649	0.0647
720.55	0.0002	0.0641	0.0639
721.12	0.0002	0.0633	0.0631
721.69	0.0001	0.0625	0.0624
722.26	0	0.0616	0.0616
722.83	0	0.0608	0.0608
723.39	-0.0001	0.06	0.0601
723.96	-0.0001	0.0593	0.0594
724.53	-0.0001	0.0585	0.0586
725.1	-0.0001	0.0578	0.0579
725.67	-0.0001	0.057	0.0571
726.24	0	0.0564	0.0564
726.81	0	0.0557	0.0557
727.37	0	0.055	0.055
727.94	0	0.0543	0.0543
728.51	-0.0001	0.0536	0.0537
729.08	-0.0002	0.0529	0.0531
729.65	-0.0002	0.0522	0.0524
730.22	-0.0003	0.0515	0.0518
730.78	-0.0003	0.0508	0.0511
731.35	-0.0003	0.0501	0.0504
731.92	-0.0004	0.0495	0.0499
732.49	-0.0004	0.0488	0.0492
733.06	-0.0004	0.0482	0.0486
733.63	-0.0004	0.0476	0.048
734.19	-0.0004	0.047	0.0474
734.76	-0.0004	0.0464	0.0468
735.33	-0.0004	0.0458	0.0462
735.9	-0.0004	0.0451	0.0455
736.46	-0.0004	0.0445	0.0449
737.03	-0.0005	0.0438	0.0443
737.6	-0.0005	0.0432	0.0437
