	A	B	C
514.0	3.2504816739603004e+36	3.250481673960298e+36	3.478113628052795e+36
515.0	3.931639500714277e+36	3.9316395007142753e+36	4.2938183862053875e+36
516.0	4.435703965717865e+36	4.4357039657178624e+36	4.916716621710698e+36
517.0	5.311214461140905e+36	5.3112144611409034e+36	5.888861253489176e+36
518.0	5.009363321747936e+36	5.009363321747935e+36	5.658207161934579e+36
519.0	5.507935284946808e+36	5.507935284946806e+36	6.312526324038314e+36
520.0	5.853684444894073e+36	5.85368444489407e+36	6.632020559592054e+36
521.0	6.42396957521073e+36	6.423969575210727e+36	7.269728307776031e+36
522.0	6.562890882703993e+36	6.562890882703991e+36	7.571027849279523e+36
523.0	7.009045063880569e+36	7.009045063880564e+36	7.965908759322213e+36
524.0	7.263043069128007e+36	7.263043069128004e+36	8.281572002398528e+36
525.0	8.045588580962174e+36	8.045588580962171e+36	9.218991425703786e+36
526.0	7.885977731619096e+36	7.885977731619093e+36	9.143672578419502e+36
527.0	8.33540336860453e+36	8.335403368604527e+36	9.804082096118653e+36
528.0	8.524143462861597e+36	8.524143462861593e+36	1.0034743329176944e+37
529.0	9.275543059122508e+36	9.275543059122505e+36	1.0783307388463038e+37
530.0	9.385861064552077e+36	9.385861064552074e+36	1.094220533236106e+37
531.0	9.631646588321037e+36	9.631646588321033e+36	1.1477266880244137e+37
532.0	9.518860660194777e+36	9.518860660194771e+36	1.14145369929479e+37
533.0	1.0054190769553331e+37	1.0054190769553328e+37	1.1971006561269663e+37
534.0	1.0131146352870374e+37	1.013114635287037e+37	1.2390208741518646e+37
535.0	1.0682558699783688e+37	1.068255869978368e+37	1.2692175237403734e+37
536.0	1.0645089486436532e+37	1.0645089486436527e+37	1.2813976682744818e+37
537.0	1.1259208926027154e+37	1.125920892602715e+37	1.3567221160611346e+37
538.0	1.1461509796770812e+37	1.146150979677081e+37	1.3774665928032216e+37
539.0	1.1292512151214874e+37	1.1292512151214867e+37	1.3891656864685892e+37
540.0	1.14460305719791e+37	1.1446030571979095e+37	1.4153513393136103e+37
541.0	1.173323159722832e+37	1.173323159722831e+37	1.4404216761017286e+37
542.0	1.2149155578558263e+37	1.214915557855826e+37	1.510680671026633e+37
543.0	1.2254518051560958e+37	1.2254518051560953e+37	1.5053658569622642e+37
544.0	1.2562214958969159e+37	1.2562214958969151e+37	1.5494345258595098e+37
545.0	1.2655402926440049e+37	1.2655402926440042e+37	1.5747127018377457e+37
546.0	1.2876159823431922e+37	1.2876159823431914e+37	1.5854857944951976e+37
547.0	1.2863861778479462e+37	1.286386177847945e+37	1.606830152799046e+37
548.0	1.244349045854602e+37	1.2443490458546017e+37	1.5753035992466347e+37
549.0	1.2884875685250028e+37	1.2884875685250023e+37	1.6338051660754943e+37
550.0	1.2776792947428534e+37	1.2776792947428532e+37	1.6417697528288753e+37
