	A	B	C
658.0	217376640450.12735	217376640450.12744	257343392114.6572
659.0	216964343184.75345	216964343184.75366	246142105957.0263
660.0	217203337774.6516	217203337774.65182	240801148134.9024
661.0	200720127270.18277	200720127270.18292	233049998666.36615
662.0	209387586295.71155	209387586295.71167	238965882933.30978
663.0	222657026826.45728	222657026826.45746	249744700035.45212
664.0	202145669927.8279	202145669927.82812	231544718167.97998
665.0	196449788651.88727	196449788651.8874	223639379952.6157
666.0	227117017545.99005	227117017545.99023	250685300520.3857
667.0	169120603029.55414	169120603029.55423	196780418998.84927
668.0	161947883635.41483	161947883635.41492	191190089180.548
669.0	209564391100.36407	209564391100.36426	235093054339.268
670.0	187638707367.768	187638707367.7681	207480749081.91547
671.0	197632576961.72348	197632576961.72366	224396429598.45627
672.0	190145090283.45697	190145090283.4571	220921877412.46008
673.0	178772614064.70892	178772614064.70905	202007659005.09186
674.0	183316494611.96533	183316494611.96548	208398751008.7373
675.0	183724463524.7937	183724463524.79385	206242866035.73264
676.0	185771025051.4806	185771025051.48074	211568544963.1522
677.0	185870424573.18488	185870424573.185	207023697661.45773
678.0	188841893905.55084	188841893905.55096	206664643050.39822
679.0	175506371888.35336	175506371888.35352	185734224145.66864
680.0	178646331408.49844	178646331408.49857	187557920912.93353
681.0	171757115041.87558	171757115041.87573	192329985879.68253
682.0	197636952370.88336	197636952370.8835	202629531289.45
683.0	180322943888.35452	180322943888.35468	201786493041.86298
684.0	174141639013.6537	174141639013.6538	193942283207.3562
685.0	187114475225.2766	187114475225.27673	209489722236.97424
686.0	195789582950.12277	195789582950.12292	208448583081.39285
687.0	185893622451.74655	185893622451.74667	205029613653.08176
688.0	177656505467.08768	177656505467.0878	190845123349.70178
689.0	178667886044.5985	178667886044.59866	195946464740.8215
690.0	176974937283.901	176974937283.90115	186434721902.36362
691.0	184008627785.65555	184008627785.65567	198535347461.11362
692.0	162790823767.0034	162790823767.00345	180734264491.23297
693.0	156434880289.05084	156434880289.05096	172171098535.42615
694.0	177583962416.96796	177583962416.9681	187953889040.99515
695.0	176564338128.1365	176564338128.13666	184663805326.2355
696.0	159610811190.4864	159610811190.4865	169439556869.5668
697.0	172797471951.4196	172797471951.41974	179194824344.65427
698.0	176678055318.29004	176678055318.29013	181740527745.5181
