	A	B	C
563.0	293201548256.1232	293201548256.12286	394824001311.6902
564.0	301117183477.80786	301117183477.8074	399264000599.6626
565.0	307002050000.15155	307002050000.1511	414764469375.6129
566.0	296338778791.5488	296338778791.5484	404734911074.19025
567.0	303963141038.54034	303963141038.54	414144561278.7932
568.0	295848370490.55774	295848370490.5573	408043207437.12286
569.0	305851510592.20416	305851510592.2038	416822885177.1179
570.0	310657576902.56537	310657576902.565	424384815955.62
571.0	314981536953.2482	314981536953.2479	428738520624.33307
572.0	302442757410.41614	302442757410.41565	419871859573.52435
573.0	297802325541.01685	297802325541.0165	413446654695.6303
574.0	300422854911.6393	300422854911.63885	412939463384.56305
575.0	300126451072.40717	300126451072.4068	414481628196.3593
576.0	289686976717.1547	289686976717.1543	410625804118.22534
577.0	300775483630.6215	300775483630.62115	418864804750.88135
578.0	314316209266.9466	314316209266.94617	430558060144.2566
579.0	309588637890.91626	309588637890.91583	433431894055.21735
580.0	297001142873.2022	297001142873.20184	425440580318.261
581.0	311747160439.50903	311747160439.5086	444771564379.4029
582.0	308519696058.60626	308519696058.6058	431969534768.1543
583.0	311930850606.55133	311930850606.55096	433672790872.7048
584.0	305680099131.762	305680099131.76166	434247513925.8764
585.0	301097925737.1404	301097925737.1399	422516202853.6499
586.0	308216764442.39685	308216764442.3964	430944865474.21844
587.0	301501847000.07355	301501847000.07306	420120738472.6492
588.0	283344789047.1984	283344789047.19794	408300217333.2603
589.0	285032493072.3318	285032493072.3314	405304230944.1783
590.0	303100017344.6992	303100017344.69885	416341048355.62177
591.0	306466002242.05273	306466002242.05237	425885715312.5162
592.0	279644674427.3068	279644674427.3065	398997752818.79034
593.0	289910169565.8897	289910169565.8894	408689924226.5663
594.0	292907913908.02686	292907913908.0265	412299011654.2056
595.0	280434575470.0969	280434575470.0965	395021869253.8778
596.0	282887969035.15265	282887969035.1522	396292245185.64813
597.0	285722233446.0382	285722233446.0379	397463986398.9838
598.0	283113216597.4215	283113216597.4211	397879862632.3848
599.0	287180043612.20154	287180043612.20105	405142631566.0292
600.0	274420272013.59418	274420272013.59378	383962546628.20935
601.0	288910767568.95197	288910767568.95166	406111808697.6095
602.0	290090027997.2033	290090027997.2028	394921905974.93805
603.0	291830840638.81647	291830840638.8161	395737141389.3217
604.0	269997979702.48132	269997979702.48096	381537390317.4953
605.0	274211115064.59857	274211115064.5981	379067773997.7152
606.0	281715762873.9965	281715762873.99615	388810695952.8859
607.0	275471833996.9294	275471833996.92896	382269652922.80835
608.0	280129242370.1923	280129242370.1919	376710567059.0486
